True Positives: 0, False Positives: 6, False Negatives: 6, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.007177744166256161,
True Positives: 0, False Positives: 16, False Negatives: 16, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.005665587874545963,
True Positives: 0, False Positives: 26, False Negatives: 26, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.005461121614783993,
True Positives: 0, False Positives: 36, False Negatives: 36, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0053793702772964025,
True Positives: 0, False Positives: 46, False Negatives: 46, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.00522019239107739,
True Positives: 0, False Positives: 56, False Negatives: 56, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.005170038285411595,
True Positives: 0, False Positives: 65, False Negatives: 65, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.005118258784372861,
True Positives: 0, False Positives: 75, False Negatives: 75, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.005044093773030909,
True Positives: 0, False Positives: 85, False Negatives: 85, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0050396381879930716,
True Positives: 0, False Positives: 95, False Negatives: 95, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.00498463837870268,
True Positives: 0, False Positives: 105, False Negatives: 105, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004922194009330789,
True Positives: 0, False Positives: 115, False Negatives: 115, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004924595538898797,
True Positives: 0, False Positives: 125, False Negatives: 125, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.00487730363177252,
True Positives: 0, False Positives: 135, False Negatives: 135, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0049402221924133806,
True Positives: 0, False Positives: 144, False Negatives: 144, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004994875853981284,
True Positives: 0, False Positives: 154, False Negatives: 154, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004944123616715169,
True Positives: 0, False Positives: 164, False Negatives: 164, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004942872018124568,
True Positives: 0, False Positives: 187, False Negatives: 174, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004955730603305501,
True Positives: 0, False Positives: 208, False Negatives: 184, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004961337934654021,
True Positives: 0, False Positives: 230, False Negatives: 194, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004962061891607855,
True Positives: 0, False Positives: 250, False Negatives: 204, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004970991999863484,
True Positives: 0, False Positives: 270, False Negatives: 214, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004975189186799096,
True Positives: 0, False Positives: 290, False Negatives: 224, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004964866232041588,
True Positives: 0, False Positives: 310, False Negatives: 234, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.00496120044867233,
True Positives: 0, False Positives: 330, False Negatives: 244, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004982060581928412,
True Positives: 0, False Positives: 350, False Negatives: 254, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004987682956685087,
True Positives: 0, False Positives: 370, False Negatives: 264, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004977857844702764,
True Positives: 0, False Positives: 388, False Negatives: 273, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.004981751534804781,
