True Positives: 0, False Positives: 77, False Negatives: 11, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.026812880636333084,
True Positives: 0, False Positives: 189, False Negatives: 27, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029048402518532787,
True Positives: 0, False Positives: 294, False Negatives: 42, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02983984669047112,
True Positives: 0, False Positives: 390, False Negatives: 58, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029709523637918744,
True Positives: 0, False Positives: 486, False Negatives: 74, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029521494999981596,
True Positives: 0, False Positives: 576, False Negatives: 89, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029466810460669447,
True Positives: 0, False Positives: 678, False Negatives: 106, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029128462141503438,
True Positives: 0, False Positives: 768, False Negatives: 121, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029117526685935865,
True Positives: 0, False Positives: 870, False Negatives: 138, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029286947934764797,
True Positives: 0, False Positives: 972, False Negatives: 155, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029297903548373846,
True Positives: 0, False Positives: 1068, False Negatives: 171, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029128750286534937,
True Positives: 0, False Positives: 1164, False Negatives: 187, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028928983973240546,
True Positives: 0, False Positives: 1260, False Negatives: 203, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028907094527070503,
True Positives: 0, False Positives: 1356, False Negatives: 219, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028906200013678652,
True Positives: 0, False Positives: 1454, False Negatives: 236, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028839687779638506,
True Positives: 0, False Positives: 1534, False Negatives: 252, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028796725039656156,
True Positives: 0, False Positives: 1619, False Negatives: 269, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028845685650533675,
True Positives: 0, False Positives: 1703, False Negatives: 284, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02905107500349702,
True Positives: 0, False Positives: 1799, False Negatives: 300, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029097098706644526,
True Positives: 0, False Positives: 1895, False Negatives: 316, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029138330768965208,
True Positives: 0, False Positives: 1985, False Negatives: 331, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029229827371577855,
True Positives: 0, False Positives: 2081, False Negatives: 347, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02930890577519194,
True Positives: 0, False Positives: 2171, False Negatives: 362, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029338131687822903,
True Positives: 0, False Positives: 2267, False Negatives: 378, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029424577505268782,
True Positives: 0, False Positives: 2357, False Negatives: 393, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02942373998979881,
True Positives: 0, False Positives: 2447, False Negatives: 408, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0295050067303698,
True Positives: 0, False Positives: 2543, False Negatives: 424, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029553688655638316,
True Positives: 0, False Positives: 2639, False Negatives: 440, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029555994381793096,
True Positives: 0, False Positives: 2727, False Negatives: 455, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02961183839338196,
True Positives: 0, False Positives: 2802, False Negatives: 470, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029611123472317015,
True Positives: 0, False Positives: 2882, False Negatives: 486, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029702644662530687,
True Positives: 0, False Positives: 2962, False Negatives: 502, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029676433826675366,
True Positives: 0, False Positives: 3047, False Negatives: 518, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02962478971040638,
True Positives: 0, False Positives: 3140, False Negatives: 532, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029622384936072405,
True Positives: 0, False Positives: 3250, False Negatives: 548, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029662120412390455,
True Positives: 0, False Positives: 3338, False Negatives: 564, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029710253382959243,
True Positives: 0, False Positives: 3407, False Negatives: 577, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029876336254747192,
True Positives: 0, False Positives: 3487, False Negatives: 593, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02993161130858275,
True Positives: 0, False Positives: 3562, False Negatives: 608, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02992959961840457,
True Positives: 0, False Positives: 3642, False Negatives: 624, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029943942089728965,
True Positives: 0, False Positives: 3717, False Negatives: 639, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029998039494507644,
True Positives: 0, False Positives: 3802, False Negatives: 656, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029958074152424026,
True Positives: 0, False Positives: 3887, False Negatives: 673, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029819697126285932,
True Positives: 0, False Positives: 3987, False Negatives: 691, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02969981210852605,
True Positives: 0, False Positives: 4089, False Negatives: 708, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02959217592089096,
True Positives: 0, False Positives: 4197, False Negatives: 726, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029466148052330457,
True Positives: 0, False Positives: 4299, False Negatives: 743, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029439418810216746,
True Positives: 0, False Positives: 4419, False Negatives: 763, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02928018301702687,
True Positives: 0, False Positives: 4515, False Negatives: 779, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029300682145047535,
True Positives: 0, False Positives: 4623, False Negatives: 797, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029239619840642612,
True Positives: 0, False Positives: 4731, False Negatives: 815, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029122126706737552,
True Positives: 0, False Positives: 4839, False Negatives: 833, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029065110483782707,
True Positives: 0, False Positives: 4953, False Negatives: 852, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028937337140833422,
True Positives: 0, False Positives: 5061, False Negatives: 870, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028826770185044856,
True Positives: 0, False Positives: 5163, False Negatives: 887, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028806124208556234,
True Positives: 0, False Positives: 5277, False Negatives: 906, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02868508863464692,
True Positives: 0, False Positives: 5373, False Negatives: 922, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028692484995651822,
True Positives: 0, False Positives: 5481, False Negatives: 940, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02865507039999034,
True Positives: 0, False Positives: 5569, False Negatives: 957, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02862047378160022,
True Positives: 0, False Positives: 5647, False Negatives: 975, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028523948500504236,
True Positives: 0, False Positives: 5751, False Negatives: 994, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02844174734606723,
True Positives: 0, False Positives: 5816, False Negatives: 1010, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028415916904941697,
True Positives: 0, False Positives: 5891, False Negatives: 1026, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028420936170557087,
True Positives: 0, False Positives: 6005, False Negatives: 1045, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028377881874632693,
True Positives: 0, False Positives: 6113, False Negatives: 1063, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028285445554084545,
